title,subject,url,description
Structural Mechanics (Fall 2002),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-20-structural-mechanics-fall-2002,"Applies solid mechanics to analysis of high-technology structures. Structural design considerations. Review of three-dimensional elasticity theory; stress, strain, anisotropic materials, and heating effects. Two-dimensional plane stress and plane strain problems. Torsion theory for arbitrary sections. Bending of unsymmetrical section and mixed material beams. Bending, shear, and torsion of thin-wall shell beams. Buckling of columns and stability phenomena. Introduction to structural dynamics. Exercises in the design of general and aerospace structures."
Techniques for Structural Analysis and Design (Spring 2005),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-21-techniques-for-structural-analysis-and-design-spring-2005,"This course introduces analysis techniques for complex structures and the role of material properties in structural design, failure, and longevity. Students will learn about the energy principles in structural analysis and their applications to statically-indeterminate structures and solid continua. Additionally, the course will examine matrix and finite-element methods of structured analysis including bars, beams, and two-dimensional plane stress elements. Structural materials and their properties will be considered, as will metals and composites. Other topics include modes of structural failure, criteria for yielding and fracture, crack formation and fracture mechanics, and fatigue and design for longevity. Students are expected to apply these concepts to their own structural design projects."
Feedback Control Systems (Fall 2010),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010,"This course will teach fundamentals of control design and analysis using state-space methods. This includes both the practical and theoretical aspects of the topic. By the end of the course, you should be able to design controllers using state-space methods and evaluate whether these controllers are robust to some types of modeling errors and nonlinearities. You will learn to:"
Estimation and Control of Aerospace Systems (Spring 2004),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-estimation-and-control-of-aerospace-systems-spring-2004,
Communication Systems Engineering (Spring 2009),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-36-communication-systems-engineering-spring-2009,"This course will cover fundamentals of digital communications and networking. We will study the basics of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. The study of data networking will include multiple access, reliable packet transmission, routing and protocols of the internet. The concepts taught in class will be discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications."
Human Factors Engineering (Fall 2011),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011,"This course is designed to provide both undergraduate and graduate students with a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation and space systems. The primary focus is the derivation of human engineering design criteria from sensory, motor, and cognitive sources to include principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Undergraduate students will demonstrate proficiency through aviation accident case presentations, quizzes, homework assignments, and hands-on projects. Graduate students will complete all the undergraduate assignments; however, they are expected to complete a research-oriented project with a final written report and an oral presentation."
Principles of Autonomy and Decision Making (Fall 2010),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010,"This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research."
Introduction to Propulsion Systems (Spring 2012),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-50-introduction-to-propulsion-systems-spring-2012,"This course presents aerospace propulsive devices as systems, with functional requirements and engineering and environmental limitations along with requirements and limitations that constrain design choices. Both air-breathing and rocket engines are covered, at a level which enables rational integration of the propulsive system into an overall vehicle design. Mission analysis, fundamental performance relations, and exemplary design solutions are presented."
Aerospace Dynamics (Spring 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-61-aerospace-dynamics-spring-2003,"This undergraduate course builds upon the dynamics content of Unified Engineering, a sophomore course taught in the Department of Aeronautics and Astronautics at MIT. Vector kinematics are applied to translation and rotation of rigid bodies. Newtonian and Lagrangian methods are used to formulate and solve equations of motion. Additional numerical methods are presented for solving rigid body dynamics problems. Examples and problems describe applications to aircraft flight dynamics and spacecraft attitude dynamics."
Experimental Projects I (Spring 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-621-experimental-projects-i-spring-2003,
Experimental Projects II (Fall 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-622-experimental-projects-ii-fall-2003,
System Safety (Spring 2016),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-63j-system-safety-spring-2016,"This course introduces the concepts of system safety and how to analyze and design safer systems. Topics include the causes of accidents in general, and recent major accidents in particular; hazard analysis, safety-driven design techniques; design of human-automation interaction; integrating safety into the system engineering process; and managing and operating safety-critical systems."
Inventions and Patents (Fall 2005),electrical-engineering-and-computer-science,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-901-inventions-and-patents-fall-2005,
Management in Engineering (Fall 2012),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-96-management-in-engineering-fall-2012,"This course gives an overview of engineering management and covers topics such as financial principles, management of innovation, technology strategy, and best management practices. The focus of the course is the development of individual skills and team work. This is carried out through an exposure to management tools."
Introduction to Lean Six Sigma Methods (January IAP 2012),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,"This course covers the fundamental principles, practices and tools of Lean Six Sigma methods that underlay modern organizational productivity approaches applied in aerospace, automotive, health care, and other sectors. It includes lectures, active learning exercises, a plant tour, talks by industry practitioners, and videos. One third of the course is devoted to a physical simulation of an aircraft manufacturing enterprise or a clinic to illustrate the power of Lean Six Sigma methods."
Technology in Transportation (Spring 2011),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-682-technology-in-transportation-spring-2011,"This course provides an introduction to the transportation industry's major technical challenges and considerations. For upper level undergraduates interested in learning about the transportation field in a broad but quantitative manner. Topics include road vehicle engineering, internal combustion engines, batteries and motors, electric and hybrid powertrains, urban and high speed rail transportation, water vessels, aircraft types and aerodynamics, radar, navigation, GPS, GIS. Students will complete a project on a subject of their choosing."
Prototyping Avionics (Spring 2006),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-682-prototyping-avionics-spring-2006,"In the past building prototypes of electronic components for new projects/products was limited to using protoboards and wirewrap. Manufacturing a printed-circuit-board was limited to final production, where mistakes in the implementation meant physically cutting traces on the board and adding wire jumpers - the final products would have these fixes on them! Today that is no longer the case, while you will still cut traces and use jumpers when debugging a board, manufacturing a new final version without the errors is a simple and relatively inexpensive task. For that matter, manufacturing a prototype printed circuit board which you know is likely to have errors but which will get the design substantially closer to the final product than a protoboard setup is not only possible, but desirable. In this class, you'll learn to design, build, and debug printed-circuit-boards."
Engineering Design and Rapid Prototyping (January IAP 2007),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-810-engineering-design-and-rapid-prototyping-january-iap-2007,"This course provides students with an opportunity to design, optimize, manufacture, and validate a physical system component. The projects from the course are included here. This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month."
Engineering Design and Rapid Prototyping (January IAP 2005),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-810-engineering-design-and-rapid-prototyping-january-iap-2005,
The Aerospace Industry (Spring 2004),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-812-the-aerospace-industry-spring-2004,
Space Systems Engineering (Spring 2002),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-83x-space-systems-engineering-spring-2002-spring-2003,"Space Systems Engineering (16.83X) is the astronautical capstone course option in the Department of Aeronautics and Astronautics.  Between Spring 2002 and Spring 2003, the course was offered in a 3-semester format, using a Conceive, Design, Implement and Operate (C-D-I-O) teaching model. 16.83X is shorthand for the three course numbers: 16.83, 16.831, and 16.832. The first semester (16.83) is the Conceive-Design phase of the project, which results in a detailed system design, but precedes assembly.  The second semester (16.831) is the Implement phase, and involves building the students' system.  The final semester (16.832) is the Operate phase, in which the system is tested and readied to perform in its intended environment."
Computational Methods in Aerospace Engineering (Spring 2014),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-90-computational-methods-in-aerospace-engineering-spring-2014,"This course provides an introduction to numerical methods and computational techniques arising in aerospace engineering. Applications are drawn from aerospace structures, aerodynamics, dynamics and control, and aerospace systems. Techniques covered include numerical integration of systems of ordinary differential equations; numerical discretization of partial differential equations; and probabilistic methods for quantifying the impact of variability. Specific emphasis is given to finite volume methods in fluid mechanics, and finite element methods in structural mechanics."
The Engineer of 2020 (Fall 2009),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-a47-the-engineer-of-2020-fall-2009,Numerous recent studies have shown that the U.S. has relatively low percentages of students who enter science and engineering and a high drop-out rate. Some other countries are producing many more scientists and engineers per capita than the U.S. What does this mean for the future of the U.S. and the global economy?
Lean Enterprise en EspaÃ±ol (January IAP 2012),res-16-001-lean-enterprise-en-espanol-january-iap-2012,https://ocw.mit.edu/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,
Compressible Flow (Spring 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-120-compressible-flow-spring-2003,"The course begins with the basics of compressible fluid dynamics, including governing equations, thermodynamic context and characteristic parameters. The next large block of lectures covers quasi-one-dimensional flow, followed by a discussion of disturbances and unsteady flows. The second half of the course comprises gas dynamic discontinuities, including shock waves and detonations, and concludes with another large block dealing with two-dimensional flows, both linear and non-linear."
Analytical Subsonic Aerodynamics (Fall 2017),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-121-analytical-subsonic-aerodynamics-fall-2017,"This subject is designed to inform students on the analytical foundations of inviscid subsonic aerodynamics. A primary goal of this subject is to equip students with the scientific rigor, applied mathematical complexity, and physical understanding that form the foundation of classical subsonic aerodynamics. Perturbation methods that both simplify mathematical complexity and expand physical understanding of critical phenomenon in fluid flow provides a framework for the subject.  The subject offers lectures in classical subsonic aerodynamics at the graduate level on inviscid, subsonic, steady flow over slender aerodynamic bodies. Topics will be selected from: fundamentals of fluid mechanics [review]; singular-perturbation methods [introduction, JIT]; similitude; subsonic flows with axial symmetry; linearized subsonic flow; slender body theory; similarity rules for subsonic flows; two-dimensional flow past a wave-shaped wall; thin wing theory; Kaplan’s higher approximations."
Aerodynamics of Viscous Fluids (Fall 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-13-aerodynamics-of-viscous-fluids-fall-2003,"The major focus of 16.13 is on boundary layers, and boundary layer theory subject to various flow assumptions, such as compressibility, turbulence, dimensionality, and heat transfer. Parameters influencing aerodynamic flows and transition and influence of boundary layers on outer potential flow are presented, along with associated stall and drag mechanisms. Numerical solution techniques and exercises are included."
Computational Mechanics of Materials (Fall 2003),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-225-computational-mechanics-of-materials-fall-2003,"16.225 is a graduate level course on Computational Mechanics of Materials. The primary focus of this course is on the teaching of state-of-the-art numerical methods for the analysis of the nonlinear continuum response of materials. The range of material behavior considered in this course includes: linear and finite deformation elasticity, inelasticity and dynamics. Numerical formulation and algorithms include: variational formulation and variational constitutive updates, finite element discretization, error estimation, constrained problems, time integration algorithms and convergence analysis. There is a strong emphasis on the (parallel) computer implementation of algorithms in programming assignments. The application to real engineering applications and problems in engineering science is stressed throughout the course."
Plates and Shells (Spring 2007),mechanical-engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-081j-plates-and-shells-spring-2007,"This course explores the following topics: derivation of elastic and plastic stress-strain relations for plate and shell elements; the bending and buckling of rectangular plates; nonlinear geometric effects; post-buckling and ultimate strength of cold formed sections and typical stiffened panels used in naval architecture; the general theory of elastic shells and axisymmetric shells; buckling, crushing and bending strength of cylindrical shells with application to offshore structures; and the application to crashworthiness of vehicles and explosive and impact loading of structures. The class is taught during the first half of term."
Feedback Control Systems (Fall 2010),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010,"This course will teach fundamentals of control design and analysis using state-space methods. This includes both the practical and theoretical aspects of the topic. By the end of the course, you should be able to design controllers using state-space methods and evaluate whether these controllers are robust to some types of modeling errors and nonlinearities. You will learn to:"
Stochastic Estimation and Control (Fall 2004),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-322-stochastic-estimation-and-control-fall-2004,"The major themes of this course are estimation and control of dynamic systems. Preliminary topics begin with reviews of probability and random variables. Next, classical and state-space descriptions of random processes and their propagation through linear systems are introduced, followed by frequency domain design of filters and compensators. From there, the Kalman filter is employed to estimate the states of dynamic systems. Concluding topics include conditions for stability of the filter equations."
Principles of Optimal Control (Spring 2008),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-323-principles-of-optimal-control-spring-2008,"This course studies basic optimization and the principles of optimal control. It considers deterministic and stochastic problems for both discrete and continuous systems. The course covers solution methods including numerical search algorithms, model predictive control, dynamic programming, variational calculus, and approaches based on Pontryagin's maximum principle, and it includes many examples and applications of the theory."
Aircraft Stability and Control (Fall 2004),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-333-aircraft-stability-and-control-fall-2004,"This class includes a brief review of applied aerodynamics and modern approaches in aircraft stability and control. Topics covered include static stability and trim; stability derivatives and characteristic longitudinal and lateral-directional motions; and physical effects of the wing, fuselage, and tail on aircraft motion. Control methods and systems are discussed, with emphasis on flight vehicle stabilization by classical and modern control techniques; time and frequency domain analysis of control system performance; and human-pilot models and pilot-in-the-loop controls with applications. Other topics covered include V/STOL stability, dynamics, and control during transition from hover to forward flight; parameter sensitivity; and handling quality analysis of aircraft through variable flight conditions. There will be a brief discussion of motion at high angles-of-attack, roll coupling, and other nonlinear flight regimes."
Dynamics of Nonlinear Systems (Fall 2003),electrical-engineering-and-computer-science,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-243j-dynamics-of-nonlinear-systems-fall-2003,"This course provides an introduction to nonlinear deterministic dynamical systems. Topics covered include: nonlinear ordinary differential equations; planar autonomous systems; fundamental theory: Picard iteration, contraction mapping theorem, and Bellman-Gronwall lemma; stability of equilibria by Lyapunov's first and second methods; feedback linearization; and application to nonlinear circuits and control systems."
Dynamic Systems and Control (Spring 2011),electrical-engineering-and-computer-science,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-241j-dynamic-systems-and-control-spring-2011,"The course addresses dynamic systems, i.e., systems that evolve with time. Typically these systems have inputs and outputs; it is of interest to understand how the input affects the output (or, vice-versa, what inputs should be given to generate a desired output). In particular, we will concentrate on systems that can be modeled by Ordinary Differential Equations (ODEs), and that satisfy certain linearity and time-invariance conditions."
Astrodynamics (Fall 2008),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,"This course covers the fundamentals of astrodynamics, focusing on the two-body orbital initial-value and boundary-value problems with applications to space vehicle navigation and guidance for lunar and planetary missions, including both powered flight and midcourse maneuvers. Other topics include celestial mechanics, Kepler's problem, Lambert's problem, orbit determination, multi-body methods, mission planning, and recursive algorithms for space navigation. Selected applications from the Apollo, Space Shuttle, and Mars exploration programs are also discussed."
Software Engineering Concepts (Fall 2005),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-355j-software-engineering-concepts-fall-2005,"This is a reading and discussion subject on issues in the engineering of software systems and software development project design. It includes the present state of software engineering, what has been tried in the past, what worked, what did not, and why. Topics may differ in each offering, but will be chosen from: the software process and lifecycle; requirements and specifications; design principles; testing, formal analysis, and reviews; quality management and assessment; product and process metrics; COTS and reuse; evolution and maintenance; team organization and people management; and software engineering aspects of programming languages."
Data Communication Networks (Fall 2002),electrical-engineering-and-computer-science,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-263j-data-communication-networks-fall-2002,"6.263J / 16.37J focuses on the fundamentals of data communication networks. One goal is to give some insight into the rationale of why networks are structured the way they are today and to understand the issues facing the designers of next-generation data networks. Much of the course focuses on network algorithms and their performance. Students are expected to have a strong mathematical background and an understanding of probability theory. Topics discussed include: layered network architecture, Link Layer protocols, high-speed packet switching, queueing theory, Local Area Networks, and Wide Area Networking issues, including routing and flow control."
Infinite Random Matrix Theory (Fall 2004),mathematics,https://ocw.mit.edu/courses/mathematics/18-338j-infinite-random-matrix-theory-fall-2004,"In this course on the mathematics of infinite random matrices, students will learn about the tools such as the Stieltjes transform and Free Probability used to characterize infinite random matrices."
Random Matrix Theory and Its Applications (Spring 2004),mathematics,https://ocw.mit.edu/courses/mathematics/18-996-random-matrix-theory-and-its-applications-spring-2004,"This course is an introduction to the basics of random matrix theory, motivated by engineering and scientific applications."
Cognitive Robotics (Spring 2016),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-412j-cognitive-robotics-spring-2016,"This is a class about applying autonomy to real-world systems. The overarching theme uniting the many different topics in this course will center around programming a cognitive robotic. This class takes the approach of introducing new reasoning techniques and ideas incrementally. We start with the current paradigm of programming you're likely familiar with, and evolve it over the semester—continually adding in new features and reasoning capabilities—ending with a robust, intelligent system. These techniques and topics will include algorithms for allowing a robot to: Monitor itself for potential problems (both observable and hidden), scheduling tasks in time, coming up with novel plans to achieve desired goals over time, dealing with the continuous world, collaborating with other (autonomous) agents, dealing with risk, and more. "
Principles of Autonomy and Decision Making (Fall 2010),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010,"This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research."
Human Supervisory Control of Automated Systems (Spring 2004),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-422-human-supervisory-control-of-automated-systems-spring-2004,"Human Supervisory Control of Automated Systems discusses elements of the interactions between humans and machines.  These elements include: assignment of roles and authority; tradeoffs between human control and human monitoring; and human intervention in automatic processes.  Further topics comprise: performance, optimization and social implications of the system; enhanced human interfaces; decision aiding; and automated alterting systems.  Topics refer to applications in aerospace, industrial and transportation systems."
Aerospace Biomedical and Life Support Engineering (Spring 2006),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-423j-aerospace-biomedical-and-life-support-engineering-spring-2006,"This course introduces students to a quantitative approach to studying the problems of physiological adaptation in altered environments, especially microgravity and partial gravity environments. The course curriculum starts with an Introduction and Selected Topics, which provides background information on the physiological problems associated with human space flight, as well as reviewing terminology and key engineering concepts. Then curriculum modules on Bone Mechanics, Muscle Mechanics, Musculoskeletal Dynamics and Control, and the Cardiovascular System are presented. These modules start out with qualitative and biological information regarding the system and its adaptation, and progresses to a quantitative endpoint in which engineering methods are used to analyze specific problems and countermeasures. Additional course curriculum focuses on interdisciplinary topics, suggestions include extravehicular activity and life support. The final module consists of student term project work."
Sensory-Neural Systems: Spatial Orientation from End Organs to Behavior and Adaptation (Spring 2012),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-430j-sensory-neural-systems-spatial-orientation-from-end-organs-to-behavior-and-adaptation-spring-2012,"This course introduces sensory systems and multi-sensory fusion using the vestibular and spatial orientation systems as a model. Topics range from end organ dynamics to neural responses, to sensory integration, to behavior, and adaptation, with particular application to balance, posture and locomotion under normal gravity and space conditions. Depending upon the background and interests of the students, advanced term project topics might include motion sickness, astronaut adaptation, artificial gravity, lunar surface locomotion, vestibulo-cardiovascular responses, vestibular neural prostheses, or other topics of interest."
Human Factors Engineering (Fall 2011),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011,"This course is designed to provide both undergraduate and graduate students with a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation and space systems. The primary focus is the derivation of human engineering design criteria from sensory, motor, and cognitive sources to include principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Undergraduate students will demonstrate proficiency through aviation accident case presentations, quizzes, homework assignments, and hands-on projects. Graduate students will complete all the undergraduate assignments; however, they are expected to complete a research-oriented project with a final written report and an oral presentation."
Biomedical Signal and Image Processing (Spring 2007),health-sciences-and-technology,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-582j-biomedical-signal-and-image-processing-spring-2007,"This course presents the fundamentals of digital signal processing with particular emphasis on problems in biomedical research and clinical medicine. It covers principles and algorithms for processing both deterministic and random signals. Topics include data acquisition, imaging, filtering, coding, feature extraction, and modeling. The focus of the course is a series of labs that provide practical experience in processing physiological data, with examples from cardiology, speech processing, and medical imaging. The labs are done in MATLAB® during weekly lab sessions that take place in an electronic classroom. Lectures cover signal processing topics relevant to the lab exercises, as well as background on the biological signals processed in the labs."
Bioengineering Journal Article Seminar (Fall 2011),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-459-bioengineering-journal-article-seminar-fall-2011,"Each term, the class selects a new set of professional journal articles on bioengineering topics of current research interest. Some papers are chosen because of particular content, others are selected because they illustrate important points of methodology. Each week, one student leads the discussion, evaluating the strengths, weaknesses, and importance of each paper. Subject may be repeated for credit a maximum of four terms. Letter grade given in the last term applies to all accumulated units of 16.459."
Rocket Propulsion (Fall 2005),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-512-rocket-propulsion-fall-2005,"This class focuses on chemical rocket propulsion systems for launch, orbital, and interplanetary flight. It studies the modeling of solid, liquid-bipropellant, and hybrid rocket engines. Thermochemistry, prediction of specific impulse, and nozzle flows including real gas and kinetic effects will also be covered. Other topics to be covered include structural constraints, propellant feed systems, turbopumps, and combustion processes in solid, liquid, and hybrid rockets."
Space Propulsion (Spring 2015),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-522-space-propulsion-spring-2015,"This course covers the fundamentals of rocket propulsion and discusses advanced concepts in space propulsion ranging from chemical to electrical engines. Topics include advanced mission analysis, physics and engineering of microthrusters, solid propellant rockets, electrothermal, electrostatic, and electromagnetic schemes for accelerating propellants. Additionally, satellite power systems and their relation to propulsion systems are discussed. The course includes laboratory work emphasizing the design and characterization of electric propulsion engines."
Internal Flows in Turbomachines (Spring 2006),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-540-internal-flows-in-turbomachines-spring-2006,"In 16.540 we address fluid dynamic phenomena of interest in internal flow situations. The emphasis tends to be on problems that arise in air breathing propulsion, but the application of the concepts covered is more general, and the course is wider in scope, than turbomachines (in spite of the title). Stated more directly, the focus is on the fluid mechanic principles that determine the behavior of a broad class of industrial devices. The material can therefore be characterized, only partly tongue in cheek, as ""industrial strength fluid mechanics done in a rigorous manner""."
Ionized Gases (Fall 2014),aeronautics-and-astronautics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-55-ionized-gases-fall-2014,"This course highlights the properties and behavior of low-temperature plasmas in relation to energy conversion, plasma propulsion, and gas lasers. The course includes material on the equilibrium (energy states, statistical mechanics, and relationship to thermodynamics) and kinetic theory of ionized gases (motion of charged particles, distribution function, collisions, characteristic lengths and times, cross sections, and transport properties).  In addition, the course discusses gas surface interactions (thermionic emission, sheaths, and probe theory) and radiation in plasmas and diagnostics."
